job_index,strategy,n_bins,min_support,final_score,score_delta,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message
14,uniform,3,0.3,0.4827274978160858,0.0758691132068634,5,"fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_9_medium, fused_10_low+fused_11_high+fused_1_medium+fused_4_high+fused_5_low+fused_6_low+fused_7_medium, fused_10_low+fused_11_high+fused_1_medium+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_10_low+fused_11_high+fused_4_high+fused_5_low+fused_6_low+fused_7_medium+fused_9_medium, fused_2_high+fused_3_low+fused_5_low+fused_6_low","[183, 221, 527, 420, 448]",0.8,0.8,5.0,ok,
15,uniform,3,0.25,0.5170701742172241,0.1102117896080017,2,"fused_4_medium, fused_11_medium","[158, 189, 818, 218, 416]",0.1,0.1,5.0,ok,
16,uniform,3,0.2,0.5652220249176025,0.1583636403083801,4,"fused_4_medium+fused_6_low, fused_11_medium, fused_4_medium+fused_5_low, fused_2_high+fused_3_low+fused_4_medium","[159, 399, 826, 203, 212]",0.4,0.1,5.0,ok,
17,uniform,3,0.15,0.59031081199646,0.1834524273872375,7,"fused_2_high+fused_3_low+fused_4_medium+fused_5_low+fused_6_low, fused_11_high+fused_2_high+fused_3_low+fused_4_medium+fused_6_low, fused_11_medium+fused_5_medium, fused_11_medium+fused_6_medium, fused_11_high+fused_3_low+fused_4_medium+fused_5_low+fused_6_low, fused_3_low+fused_4_medium+fused_5_low+fused_6_low+fused_9_medium, fused_2_high+fused_3_low+fused_4_medium+fused_5_low+fused_9_medium","[157, 240, 903, 175, 324]",0.4,0.8,5.0,ok,
18,uniform,3,0.1,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
19,uniform,5,1.0,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
20,uniform,5,0.95,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
21,uniform,5,0.9,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
22,uniform,5,0.85,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
23,uniform,5,0.8,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
24,uniform,5,0.75,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
25,uniform,5,0.7,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
26,uniform,5,0.65,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
27,uniform,5,0.6,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
28,uniform,5,0.55,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
29,uniform,5,0.5,0.446648508310318,0.0397901237010955,1,fused_6_verylow,"[163, 193, 843, 363, 237]",0.1,0.1,5.0,ok,
30,uniform,5,0.45,0.4490812718868255,0.0422228872776031,2,"fused_6_verylow, fused_5_verylow","[163, 189, 860, 343, 244]",0.1,0.1,3.0,ok,
31,uniform,5,0.4,0.4320131540298462,0.0251547694206237,1,fused_5_verylow+fused_6_verylow,"[170, 201, 762, 385, 281]",0.8,0.1,5.0,ok,
32,uniform,5,0.35,0.4320131540298462,0.0251547694206237,1,fused_5_verylow+fused_6_verylow,"[170, 201, 762, 385, 281]",0.8,0.1,5.0,ok,
33,uniform,5,0.3,0.4615892767906189,0.0547308921813964,2,"fused_10_verylow+fused_6_verylow, fused_10_verylow+fused_5_verylow","[167, 237, 606, 503, 286]",0.9,0.8,5.0,ok,
34,uniform,5,0.25,0.4383696913719177,0.03151130676269531,1,fused_6_low,"[166, 192, 802, 381, 258]",0.3,0.1,5.0,ok,
35,uniform,5,0.2,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
36,uniform,5,0.15,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
38,uniform,7,1.0,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
39,uniform,7,0.95,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
40,uniform,7,0.9,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
41,uniform,7,0.85,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
42,uniform,7,0.8,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
43,uniform,7,0.75,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
44,uniform,7,0.7,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
45,uniform,7,0.65,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
46,uniform,7,0.6,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
47,uniform,7,0.55,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
48,uniform,7,0.5,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
49,uniform,7,0.45,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
50,uniform,7,0.4,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
51,uniform,7,0.35,0.4292389154434204,0.0223805308341979,1,fused_6_megalow,"[170, 204, 750, 400, 275]",0.8,0.1,5.0,ok,
52,uniform,7,0.3,0.4292389154434204,0.0223805308341979,1,fused_6_megalow,"[170, 204, 750, 400, 275]",0.8,0.1,5.0,ok,
53,uniform,7,0.25,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
54,uniform,7,0.2,0.4068583846092224,0.0,0,,[],,,,baseline_no_improvement,
57,quantile,3,1.0,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
58,quantile,3,0.95,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
59,quantile,3,0.9,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
60,quantile,3,0.85,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
61,quantile,3,0.8,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
62,quantile,3,0.75,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
63,quantile,3,0.7,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
64,quantile,3,0.65,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
65,quantile,3,0.6,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
66,quantile,3,0.55,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
67,quantile,3,0.5,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
68,quantile,3,0.45,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
69,quantile,3,0.4,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
70,quantile,3,0.35,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
76,quantile,5,1.0,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
77,quantile,5,0.95,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
78,quantile,5,0.9,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
79,quantile,5,0.85,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
80,quantile,5,0.8,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
81,quantile,5,0.75,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
82,quantile,5,0.7,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
83,quantile,5,0.65,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
84,quantile,5,0.6,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
85,quantile,5,0.55,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
86,quantile,5,0.5,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
87,quantile,5,0.45,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
88,quantile,5,0.4,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
89,quantile,5,0.35,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
90,quantile,5,0.3,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
91,quantile,5,0.25,0.4068583846092224,0.0,0,,[],,,,baseline_no_features,
